iter	Passed	Remaining
0	325	325670
1	329	164583
2	332	110445
3	334	83241
4	336	66915
5	338	56126
6	340	48338
7	343	42614
8	346	38136
9	348	34504
10	349	31439
11	350	28881
12	351	26705
13	352	24839
14	353	23218
15	354	21799
16	355	20553
17	356	19443
18	358	18488
19	359	17614
20	360	16803
21	361	16066
22	362	15392
23	363	14774
24	364	14212
25	365	13691
26	366	13205
27	367	12752
28	368	12330
29	369	11937
30	370	11569
31	371	11224
32	372	10916
33	374	10627
34	375	10341
35	376	10069
36	377	9813
37	378	9569
38	378	9336
39	379	9118
40	380	8908
41	381	8709
42	382	8520
43	383	8337
44	384	8164
45	385	7997
46	386	7845
47	388	7699
48	389	7559
49	390	7425
50	391	7291
51	392	7160
52	393	7037
53	394	6918
54	395	6801
55	396	6689
56	397	6580
57	398	6474
58	399	6374
59	400	6276
60	402	6189
61	403	6103
62	404	6014
63	405	5928
64	406	5844
65	407	5766
66	408	5692
67	409	5611
68	410	5538
69	411	5465
70	412	5395
71	413	5325
72	414	5258
73	414	5192
74	415	5129
75	418	5082
76	419	5022
77	419	4963
78	420	4906
79	421	4850
80	422	4795
81	423	4742
82	424	4690
83	425	4639
84	426	4587
85	427	4539
86	427	4489
87	428	4442
88	429	4397
89	430	4353
90	432	4316
91	433	4276
92	434	4236
93	435	4195
94	436	4155
95	437	4116
96	437	4077
97	438	4039
98	439	4002
99	440	3966
100	441	3931
101	442	3892
102	443	3858
103	443	3824
104	444	3791
105	446	3766
106	447	3738
107	448	3707
108	449	3677
109	450	3646
110	451	3617
111	452	3589
112	453	3560
113	454	3532
114	455	3504
115	456	3476
116	457	3450
117	458	3423
118	458	3396
119	459	3370
120	461	3351
121	462	3331
122	463	3303
123	464	3279
124	465	3255
125	465	3232
126	466	3209
127	467	3184
128	468	3162
129	469	3140
130	470	3120
131	471	3099
132	472	3078
133	473	3057
134	474	3037
135	475	3019
136	476	3002
137	477	2983
138	478	2964
139	479	2945
140	480	2927
141	481	2908
142	482	2890
143	483	2872
144	484	2854
145	484	2836
146	485	2819
147	486	2802
148	487	2785
149	488	2769
150	490	2755
151	491	2741
152	492	2727
153	493	2712
154	494	2696
155	495	2680
156	496	2665
157	497	2651
158	498	2636
159	499	2621
160	500	2606
161	501	2592
162	502	2577
163	502	2563
164	503	2550
165	505	2541
166	507	2529
167	508	2517
168	509	2503
169	510	2490
170	511	2477
171	511	2464
172	512	2451
173	513	2438
174	514	2426
175	515	2414
176	516	2401
177	517	2389
178	518	2377
179	519	2368
180	520	2354
181	522	2348
182	523	2338
183	524	2327
184	525	2317
185	527	2310
186	529	2301
187	530	2291
188	531	2280
189	532	2270
190	533	2260
191	535	2254
192	537	2245
193	539	2241
194	540	2232
195	542	2224
196	543	2215
197	544	2206
198	545	2197
199	547	2189
200	548	2180
201	550	2176
202	552	2167
203	553	2158
204	554	2150
205	555	2141
206	556	2132
207	557	2124
208	558	2115
209	560	2106
210	561	2098
211	562	2088
212	562	2079
213	563	2070
214	565	2063
215	566	2055
216	567	2047
217	568	2038
218	569	2029
219	570	2021
220	570	2012
221	571	2003
222	572	1995
223	573	1986
224	574	1978
225	575	1970
226	576	1962
227	577	1954
228	578	1946
229	579	1939
230	580	1933
231	582	1927
232	583	1920
233	584	1912
234	585	1905
235	586	1897
236	587	1890
237	588	1883
238	589	1876
239	590	1868
240	591	1861
241	591	1854
242	593	1847
243	594	1840
244	595	1833
245	596	1826
246	596	1819
247	597	1812
248	598	1805
249	599	1798
250	600	1791
251	601	1784
252	602	1778
253	603	1771
254	604	1764
255	604	1758
256	605	1751
257	606	1744
258	607	1738
259	608	1732
260	609	1725
261	610	1719
262	611	1713
263	612	1707
264	613	1700
265	614	1694
266	615	1688
267	615	1682
268	616	1676
269	617	1669
270	618	1663
271	619	1657
272	620	1651
273	621	1646
274	622	1640
275	623	1634
276	624	1629
277	625	1623
278	625	1617
279	626	1612
280	627	1606
281	628	1600
282	631	1599
283	632	1594
284	633	1588
285	634	1583
286	634	1577
287	635	1572
288	636	1566
289	637	1561
290	638	1556
291	639	1551
292	640	1546
293	641	1540
294	642	1535
295	643	1530
296	644	1525
297	645	1520
298	646	1515
299	647	1509
300	648	1505
301	648	1499
302	649	1494
303	650	1489
304	651	1484
305	652	1480
306	653	1475
307	654	1470
308	655	1465
309	656	1461
310	657	1456
311	658	1451
312	659	1447
313	660	1442
314	661	1437
315	662	1432
316	662	1428
317	663	1423
318	664	1419
319	665	1414
320	666	1409
321	667	1405
322	668	1401
323	669	1396
324	670	1392
325	671	1388
326	672	1383
327	673	1379
328	674	1374
329	675	1370
330	675	1366
331	676	1361
332	677	1357
333	678	1353
334	679	1348
335	680	1344
336	681	1340
337	682	1336
338	683	1332
339	684	1328
340	685	1324
341	686	1320
342	687	1316
343	688	1312
344	688	1307
345	689	1303
346	690	1299
347	691	1295
348	692	1291
349	693	1287
350	694	1283
351	695	1279
352	695	1275
353	697	1272
354	697	1268
355	698	1264
356	699	1260
357	701	1257
358	701	1253
359	702	1249
360	703	1246
361	705	1242
362	706	1239
363	707	1235
364	731	1273
365	733	1270
366	734	1267
367	743	1276
368	745	1275
369	747	1272
370	748	1269
371	750	1266
372	751	1263
373	752	1259
374	753	1255
375	754	1251
376	755	1247
377	756	1244
378	756	1240
379	757	1236
380	758	1232
381	759	1229
382	760	1225
383	761	1222
384	762	1218
385	763	1214
386	764	1210
387	765	1207
388	766	1203
389	767	1200
390	768	1196
391	769	1193
392	770	1189
393	771	1185
394	771	1182
395	773	1179
396	774	1176
397	775	1173
398	777	1170
399	778	1167
400	778	1163
401	779	1160
402	780	1156
403	781	1153
404	782	1149
405	783	1146
406	784	1142
407	785	1139
408	786	1136
409	787	1132
410	788	1129
411	788	1125
412	789	1122
413	790	1119
414	791	1116
415	792	1112
416	793	1109
417	794	1106
418	796	1104
419	797	1101
420	798	1097
421	799	1094
422	800	1091
423	801	1088
424	802	1085
425	803	1082
426	804	1079
427	805	1075
428	805	1072
429	806	1069
430	807	1066
431	808	1063
432	809	1059
433	810	1056
434	811	1053
435	812	1050
436	813	1047
437	814	1044
438	815	1041
439	816	1038
440	816	1035
441	817	1032
442	818	1029
443	819	1026
444	820	1023
445	821	1020
446	822	1017
447	823	1014
448	824	1011
449	825	1008
450	826	1005
451	827	1002
452	827	999
453	829	997
454	830	994
455	830	991
456	831	988
457	832	985
458	833	982
459	834	980
460	835	977
461	836	974
462	837	971
463	838	968
464	839	966
465	840	963
466	841	960
467	842	958
468	843	955
469	845	952
470	846	950
471	847	947
472	848	945
473	849	942
474	850	939
475	851	936
476	851	934
477	852	931
478	853	928
479	854	925
480	855	923
481	856	920
482	857	917
483	858	915
484	859	912
485	860	909
486	861	907
487	862	904
488	863	902
489	864	899
490	865	897
491	866	894
492	867	891
493	868	889
494	868	886
495	869	883
496	870	881
497	871	878
498	872	876
499	873	873
500	874	871
501	875	868
502	876	865
503	877	863
504	878	861
505	879	858
506	880	855
507	881	853
508	882	851
509	883	848
510	883	845
511	884	843
512	885	841
513	886	838
514	887	836
515	888	833
516	889	831
517	890	828
518	891	826
519	892	823
520	893	821
521	894	818
522	895	816
523	896	813
524	896	811
525	897	808
526	898	806
527	899	804
528	901	802
529	902	800
530	903	797
531	904	795
532	905	793
533	906	791
534	907	789
535	908	786
536	909	784
537	910	781
538	911	779
539	912	777
540	913	774
541	914	772
542	915	770
543	916	767
544	917	765
545	917	763
546	918	760
547	919	758
548	920	756
549	921	754
550	922	751
551	923	749
552	924	747
553	925	744
554	926	742
555	927	740
556	927	738
557	928	735
558	929	733
559	930	731
560	931	728
561	932	726
562	933	724
563	934	722
564	935	719
565	936	717
566	937	715
567	938	713
568	938	711
569	939	708
570	940	706
571	941	704
572	942	702
573	943	700
574	944	698
575	945	695
576	946	693
577	947	691
578	948	689
579	948	687
580	949	684
581	950	682
582	951	680
583	952	678
584	953	676
585	954	674
586	955	672
587	956	670
588	957	668
589	958	665
590	959	663
591	960	661
592	961	659
593	961	657
594	962	655
595	963	653
596	964	651
597	965	649
598	966	647
599	967	644
600	968	642
601	969	640
602	970	638
603	971	636
604	972	634
605	972	632
606	973	630
607	974	628
608	975	626
609	976	624
610	977	622
611	978	620
612	979	618
613	979	616
614	981	614
615	981	612
616	982	610
617	983	608
618	984	606
